path,status,backend,mode,wall_ms,solve_calls,result,m,trials,r,seed,file_bytes,aig_inputs,aig_ands,cone_inputs,cnf_vars,cnf_clauses
datasets/sample/bench_all\and_dominant_0000.bench,ok,varisat,exact,1,2,1,0,1,5,1,1111,2,2,2,5,8
datasets/sample/bench_all\and_dominant_0001.bench,ok,varisat,exact,1,4,3,0,1,5,1,2628,5,8,5,13,23
datasets/sample/bench_all\and_dominant_0002.bench,ok,varisat,exact,1,3,2,0,1,5,1,1946,2,3,2,6,11
datasets/sample/bench_all\and_dominant_0003.bench,ok,varisat,exact,0,2,1,0,1,5,1,931,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0004.bench,ok,varisat,exact,1,2,1,0,1,5,1,1413,1,1,1,2,2
datasets/sample/bench_all\and_dominant_0005.bench,ok,varisat,exact,1,2,1,0,1,5,1,1401,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0006.bench,ok,varisat,exact,1,2,1,0,1,5,1,1096,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0007.bench,ok,varisat,exact,1,7,6,0,1,5,1,902,4,5,4,10,17
datasets/sample/bench_all\and_dominant_0008.bench,ok,varisat,exact,1,2,1,0,1,5,1,2043,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0009.bench,ok,varisat,exact,0,2,1,0,1,5,1,920,4,4,4,9,14
datasets/sample/bench_all\and_dominant_0010.bench,ok,varisat,exact,0,2,1,0,1,5,1,873,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0011.bench,ok,varisat,exact,0,3,2,0,1,5,1,1185,2,3,2,6,11
datasets/sample/bench_all\and_dominant_0012.bench,ok,varisat,exact,0,2,1,0,1,5,1,1559,1,2,1,2,2
datasets/sample/bench_all\and_dominant_0013.bench,ok,varisat,exact,1,2,1,0,1,5,1,2666,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0014.bench,ok,varisat,exact,1,3,2,0,1,5,1,2629,2,3,2,6,11
datasets/sample/bench_all\and_dominant_0015.bench,ok,varisat,exact,0,2,1,0,1,5,1,1183,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0016.bench,ok,varisat,exact,1,2,1,0,1,5,1,2305,3,3,3,6,8
datasets/sample/bench_all\and_dominant_0017.bench,ok,varisat,exact,1,2,1,0,1,5,1,1199,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0018.bench,ok,varisat,exact,1,5,4,0,1,5,1,2293,4,5,4,10,17
datasets/sample/bench_all\and_dominant_0019.bench,ok,varisat,exact,1,2,1,0,1,5,1,2566,4,3,4,8,11
